    cv       val
    0.2      15.96
  0.468      15.86
  0.474      15.56
  0.624      15.95
  0.649      16.08
  0.649      16.09
   0.66      16.12
  0.671      16.14
   0.63      15.99
   0.47       15.7
  0.441      16.14
  0.408      16.39
  0.614      15.97
  0.612      15.98
  0.373      16.26
  0.405      15.85
  0.432      15.53
  0.361       16.1
  0.399      15.63
  0.416      15.82
  0.379      15.95
  0.534      15.68
   0.53      15.62
   0.56      15.85
  0.302      17.32
  0.532      16.38
  0.333      16.26
   0.34      16.24
  0.379      16.24
   0.27      16.65
  0.246       16.6
  0.246      16.45
  0.247       16.3
  0.298      16.09
  0.141      16.86
  0.333      15.81
   0.16      16.51
   0.12      16.54
  0.136      16.01
 0.0975      16.31
 0.0826      16.43
 0.0696      16.48
 0.0639      16.52
 0.0608      16.54
 0.0991      15.86
 0.0943      15.66
 0.0537      16.32
 0.0996      15.73
 0.0557      16.65
 0.0649      16.51
 0.0764      16.22
 0.0571      16.45
 0.0812      15.91
 0.0787       15.8
 0.0664      15.99
   0.07      15.97
 0.0533      16.41
 0.0846       15.8
  0.062      16.19
  0.069      15.92
 0.0796      15.82
  0.062      16.18
 0.0849      15.61
  0.065      15.71
 0.0812      15.44
  0.071      15.54
 0.0662      15.72
 0.0574       16.1
 0.0597      16.17
 0.0619      16.11
 0.0762      15.82
  0.126      15.59
  0.161      15.41
  0.091      15.83
 0.0963      15.68
 0.0915      16.36
  0.137       15.9
  0.225      15.38
