year	c11	c12	c22	depm_b1	depm_b2	aco_b1	aco_b2	t1	t2
1987	2711.059346437	8318.028	6543.1807890196	14235	29365	NA	NA	0.3067978222	0.1940456118
1988	2602.1529665304	3864.184	10953.8569097814	53087	63500	NA	NA	0.3252794229	0.1774291976
1989	1723.4694334366	3875.714	4442.0512328	7282	16720	6476	15500	0.2820454556	0.232803463
1990	9313.9385535054	10573.023	23573.88490264	90650	97239	NA	NA	0.3070060043	0.2057019525
1991	3903.2976425597	10191.0266249888	8196.0580453712	11271	19276	28322	64000	0.2347130226	0.1983758561
1992	11933.027859762	16366.388	21025.8733499118	85571	90720	84439	89000	0.2542361255	0.218369331
1993	6414.3916524682	14177.326	25430.6994600434	NA	NA	NA	NA	0.236767178	0.2377880939
1994	3794.9149600485	13601.613	20149.9469146637	34674	60062	NA	35000	0.2331181225	0.2050100052
1995	5717.7038041634	14549.846	14814.7429531816	42906	54700	NA	NA	0.2917049942	0.1751005321
1996	4570.2810888753	9245.69278	23832.9117634983	NA	39545	NA	NA	0.2756236112	0.1977851336
1997	4323.1525615358	7234.662	13256.2497783044	38536	51176	38498	63000	0.2078065205	0.2623519918
1998	5898.2493336965	7987.7149912	23588.2539624486	80357	101976	NA	57000	0.1992132128	0.256668983
1999	2066.9670466512	10895.1137	15511.0041996076	NA	69074	NA	NA	0.2304494166	0.2626253066
2000	6298.3048432924	12009.9077	24882.2259323131	NA	44973	89363.0559050294	113120	0.2569319047	0.1999439433
2001	5481.2883111617	11467.607	28671.0175024756	69110	120403	67109.7516973052	105801	0.2983596872	0.2195369957
2002	1961.852377014	7738.21744	9754.3083299991	6352	30697	27641.7851732214	110566	0.1832772739	0.2388521851
2003	625.3993948943	2378.991236	8100.5516735663	16575	23962	18687.2501028548	30632	0.299680983	0.2794700115
2004	2754.2626655314	4622.7440532956	11656.5672782707	14649	19498	33995.0301124154	45965	0.2989026789	0.2126114797
2005	101.8802130279	790.3112961102	372.1748190224	2063	8002	2466.8358797662	14643	0.1138091031	0.0740638881
2006	484.1068222094	814.9655396996	947.0902025707	15064	21436	18282.4714690215	30877	0.3266274741	0.0741282737
2007	20.0895828816	66.9652762722	73.0347237278	16030	25973	26229.7173276457	40876	0.3181089744	0.0590466486
2008	0	0	0	7579	25377	10400.4832	37574	0.2609742375	0.1991289945
2009	0	0	0	9295	24846	11428.9545	34855	0.2609742375	0.1993831636
2010	1722.7694542301	3446.7036536238	6655.1147677756	33725	42979	64564	86355	0.3134015057	0.22212186
2011	2747.2197874249	8307.0926735546	6181.7359616801	140554.530126241	172222.842157795	115378.885619915	142601	0.29265217	0.2574518468
2012	557.124820246	3882.35555	NA	11127.2533731238	36199.5520128127	73842.7155768759	186864.573149451	0.3367606711	NA
